Log Time,kerberos,Bat
2025-02-16 10:42:18,laptiev,3.453333
2025-02-16 10:41:44,laptiev,3.525
2025-02-16 10:41:10,laptiev,3.451667
2025-02-16 10:40:36,laptiev,3.525
2025-02-16 10:40:02,laptiev,3.453333
2025-02-16 10:39:28,laptiev,3.453333
2025-02-16 10:38:54,laptiev,3.526667
2025-02-16 10:38:20,laptiev,3.526667
2025-02-16 10:37:45,laptiev,3.451667
2025-02-16 10:37:11,laptiev,3.451667
2025-02-16 10:36:37,laptiev,3.526667
2025-02-16 10:36:03,laptiev,3.453333
2025-02-16 10:35:29,laptiev,3.455
2025-02-16 10:34:55,laptiev,3.453333
2025-02-16 10:34:21,laptiev,3.526667
2025-02-16 10:33:47,laptiev,3.533333
2025-02-16 10:33:13,laptiev,3.53
2025-02-16 10:32:39,laptiev,3.448333
2025-02-16 10:32:05,laptiev,3.453333
2025-02-16 10:31:31,laptiev,3.526667
2025-02-16 10:30:57,laptiev,3.53
2025-02-16 10:30:23,laptiev,3.53
2025-02-16 10:29:49,laptiev,3.453333
2025-02-16 10:29:14,laptiev,3.453333
2025-02-16 10:28:40,laptiev,3.453333
2025-02-16 10:28:06,laptiev,3.455
2025-02-16 10:27:32,laptiev,3.53
2025-02-16 10:26:58,laptiev,3.53
2025-02-16 10:26:24,laptiev,3.53
2025-02-16 10:25:50,laptiev,3.455
2025-02-16 10:25:16,laptiev,3.53
2025-02-16 10:24:42,laptiev,3.526667
2025-02-16 10:24:08,laptiev,3.448333
2025-02-16 10:23:34,laptiev,3.455
2025-02-16 10:23:00,laptiev,3.451667
2025-02-16 10:22:26,laptiev,3.533333
2025-02-16 10:21:51,laptiev,3.451667
2025-02-16 10:21:17,laptiev,3.455
2025-02-16 10:20:43,laptiev,3.458333
2025-02-16 10:20:09,laptiev,3.53
2025-02-16 10:19:35,laptiev,3.455
2025-02-16 10:19:01,laptiev,3.53
2025-02-16 10:18:27,laptiev,3.53
2025-02-16 10:17:53,laptiev,3.53
2025-02-16 10:17:19,laptiev,3.45
2025-02-16 10:16:45,laptiev,3.53
2025-02-16 10:16:10,laptiev,3.458333
2025-02-16 10:15:36,laptiev,3.53
2025-02-16 10:15:02,laptiev,3.53
2025-02-16 10:14:28,laptiev,3.453333
2025-02-16 10:13:54,laptiev,3.451667
2025-02-16 10:13:20,laptiev,3.453333
2025-02-16 10:12:46,laptiev,3.533333
2025-02-16 10:12:12,laptiev,3.53
2025-02-16 10:11:38,laptiev,3.533333
2025-02-16 10:11:04,laptiev,3.458333
2025-02-16 10:10:30,laptiev,3.453333
2025-02-16 10:09:56,laptiev,3.533333
2025-02-16 10:09:22,laptiev,3.53
2025-02-16 10:08:48,laptiev,3.533333
2025-02-16 10:08:14,laptiev,3.458333
